date,price,lear56,lear84,lear1092,lear1456
20190310,-2.6,13.122620268279594,5.037935476205571,6.094556957397547,6.583640975554002
20190311,18.22,4.344483551734609,9.888166860008077,6.778515584064202,7.3688027752022665
20190312,32.92,34.672725120118116,38.13948516479023,36.3345589897191,35.39178511271223
20190313,8.09,11.340243745573897,-1.6301661171496193,1.6765943826839844,3.476959972933705
20190314,22.33,12.63667194517869,12.736599700420784,16.017685074184893,16.662623326172618
20190315,13.169999999999998,19.953313035831645,18.559506146908426,19.403025529417732,20.25270082502439
20190316,2.02,11.747646256645954,12.050981107333776,4.843925714115237,7.242470049597857
20190317,-6.23,-24.12335800714416,-17.95018637864781,-23.54177787687703,-18.651530415727557
20190318,6.03,1.9942438000292966,4.132586768381711,3.440910286669157,5.219793053981624
20190319,36.42,29.807975000312258,34.96987009958099,34.95944229658515,35.04581538165956
